employee_id,fullname,directorate,position,grade,tgv_name,tv_name,baseline_score,tv_match_rate,tgv_match_rate,final_match_rate
EMP100994,Rizka Kusuma Rahmawati,Commercial,HRBP,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100338,Galih Halim,Technology,HRBP,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101022,Hadi Siregar,Technology,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101715,Ayunda Rahmawati,Commercial,HRBP,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101715,Ayunda Rahmawati,Commercial,HRBP,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101715,Ayunda Rahmawati,Commercial,HRBP,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
DUP9015,Umar Maulana,Commercial,Sales Supervisor,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101715,Ayunda Rahmawati,Commercial,HRBP,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100185,Yuni Anugrah Subekti,HR & Corp Affairs,Supply Planner,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100596,Dimas Aji Hidayat,Commercial,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101945,Mahendra Wibowo,Technology,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100918,Yuni Lestari,Technology,HRBP,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101955,Budi Salsabila,Commercial,Data Analyst,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101964,Joko Handayani,Commercial,Brand Executive,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100232,Zaki Ridwan,Technology,Brand Executive,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100802,Dimas Kusuma Indrawan,HR & Corp Affairs,Brand Executive,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100926,Intan Candra Rahmawati,Technology,Sales Supervisor,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101424,Yoga Aji Hidayat,Commercial,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101976,Prasetyo Utami,Commercial,HRBP,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101983,Dinda Qolbi Fauziah,Technology,Supply Planner,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101995,Utami Kusuma Hidayat,Commercial,Sales Supervisor,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
DUP9015,Umar Maulana,Commercial,Sales Supervisor,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101424,Yoga Aji Hidayat,Commercial,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101552,Evi Dharma Pamungkas,HR & Corp Affairs,Sales Supervisor,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100185,Yuni Anugrah Subekti,HR & Corp Affairs,Supply Planner,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101648,Wulan Nabila Pratama,HR & Corp Affairs,HRBP,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101423,Galih Gunawan,Technology,Data Analyst,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100678,Julia Jatmiko Nugroho,Commercial,Data Analyst,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100544,Citra Putra,Commercial,Sales Supervisor,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100694,Julia Hartanto,HR & Corp Affairs,Brand Executive,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100918,Yuni Lestari,Technology,HRBP,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101184,Mahendra Dharma Yulianto,HR & Corp Affairs,Data Analyst,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100926,Intan Candra Rahmawati,Technology,Sales Supervisor,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101976,Prasetyo Utami,Commercial,HRBP,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101022,Hadi Siregar,Technology,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,100.00
DUP9015,Umar Maulana,Commercial,Sales Supervisor,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101945,Mahendra Wibowo,Technology,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101269,Rizky Jatmiko Herlambang,HR & Corp Affairs,Data Analyst,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101184,Mahendra Dharma Yulianto,HR & Corp Affairs,Data Analyst,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101226,Yoga Erlangga Mahendra,Commercial,Brand Executive,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100056,Ayunda Ramadhan,HR & Corp Affairs,Brand Executive,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101995,Utami Kusuma Hidayat,Commercial,Sales Supervisor,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101648,Wulan Nabila Pratama,HR & Corp Affairs,HRBP,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101571,Nurlita Pratomo,Commercial,Finance Officer,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101571,Nurlita Pratomo,Commercial,Finance Officer,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101552,Evi Dharma Pamungkas,HR & Corp Affairs,Sales Supervisor,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100802,Dimas Kusuma Indrawan,HR & Corp Affairs,Brand Executive,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100309,Valdo Ridwan,Technology,Data Analyst,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100994,Rizka Kusuma Rahmawati,Commercial,HRBP,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
DUP9015,Umar Maulana,Commercial,Sales Supervisor,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101571,Nurlita Pratomo,Commercial,Finance Officer,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101375,Lestari Salsabila,Technology,Finance Officer,V,Context & Experience,Education & Years of Service,100,100,100,100.00
